filename,label,sample_id,source,batch,purpose,width,height,sha256
0000_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115459408-0838.png,0000,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115459408-0838,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,3efe428e78918a67c30773bb2c9f9c16ae17df17ada3e5c64f5c552129912940
0003_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114980074-0227.png,0003,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114980074-0227,饭团动漫,batch_20260715_fantuan,training_raw,128,40,dccbcd4a1791e299cd355847dde9b4e8fd3a96282cb1cb31747fc280a973a303
0004_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115322449-0729.png,0004,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115322449-0729,饭团动漫,batch_20260715_fantuan,training_raw,128,40,a242729db1b358e377f222c1074061e2dc7f563ba94be09faf236a33f7cd7bbb
0004_d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784114852554-0019.png,0004,d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784114852554-0019,新优酷,batch_20260715_xinyouku,training_raw,128,40,9add4cdcce609ac18effc0185632772a2e1073385bc36b5563be1ed2e2ce2add
0005_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115428253-0752.png,0005,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115428253-0752,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,f08775538769eeca8db75b6f12b4eee5070a4f8675bda948b6be3bbfa4e9e3ac
0008_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115216509-0166.png,0008,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115216509-0166,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,13ca50125347121e9b8b2f8b76bdbd1df3bba5caece5dfe7918385daf1fc24d3
0010_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156950-0002.png,0010,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156950-0002,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,933d829b7ac77edbba0696539eb7d5d3ce8feac981335e5d9202617015e5d171
0013_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115208362-0564.png,0013,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115208362-0564,饭团动漫,batch_20260715_fantuan,training_raw,128,40,73cf32c32e043c42f06d269e4800ec19690870e9d8a5dfb27d60fcf0a49137ff
0014_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115164941-0024.png,0014,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115164941-0024,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,76957bdd5ed6854508f9cb4e19d29221aefe3ce9f9ee825007c31d4853a040ff
0014_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115347124-0763.png,0014,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115347124-0763,饭团动漫,batch_20260715_fantuan,training_raw,128,40,c967f1286da0fc976694de3acd85cefeadd64d747f6f56676f06a0c0ee0c3e17
0015_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114946557-0178.png,0015,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114946557-0178,饭团动漫,batch_20260715_fantuan,training_raw,128,40,81819a889afe88a6d9f471664d08d2c697232cbcbfd5bd989fdf75551218dc0b
0019_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115140831-0464.png,0019,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115140831-0464,饭团动漫,batch_20260715_fantuan,training_raw,128,40,9149983103e72658b9dceae7f72c68d7778257cbfcafd191c4427a947af9eb70
0020_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115238015-0225.png,0020,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115238015-0225,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,461f9227ff52a566aed9e6be3970196bbcb3e916c3cbe4dabdf52fadbffd29fe
0020_d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115715645-0685.png,0020,d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115715645-0685,新优酷,batch_20260715_xinyouku,training_raw,128,40,0fcb1b2dc1ce36db4e9a9d1c0359d273a7ab7bdf7182e2ef5c93d98500d00bc8
0021_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114848082-0034.png,0021,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114848082-0034,饭团动漫,batch_20260715_fantuan,training_raw,128,40,7a1d66fe000785c46d14c6a59f909938a62697f9a00021a4add4142a40078b94
0021_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114973544-0217.png,0021,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784114973544-0217,饭团动漫,batch_20260715_fantuan,training_raw,128,40,45ea9aa2ec17f3984a0ee38c62af404ec13e9e2dad4e4b5b759190ff9a4a52de
0022_a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115439916-0903.png,0022,a638aa6e-3e84-42e1-9ded-5ae76935ace6-1784115439916-0903,饭团动漫,batch_20260715_fantuan,training_raw,128,40,afc007e069d0c1a9671f72eb57f574ceb494dafadb327d0e025f8f4896310b20
0022_d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784114876429-0037.png,0022,d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784114876429-0037,新优酷,batch_20260715_xinyouku,training_raw,128,40,db36cb0e00ede48775e2b0c8e7d6fdd48f7e626d5e2a1c73acb59cd96ad3a757
0025_d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115034674-0164.png,0025,d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115034674-0164,新优酷,batch_20260715_xinyouku,training_raw,128,40,03d8dd18012a9aee1798e4963b61b1095238560c1f28330edfe46a6fc83b9f77
0026_d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115609436-0615.png,0026,d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115609436-0615,新优酷,batch_20260715_xinyouku,training_raw,128,40,f9a23b797142f3650e31a1fe50dad8228e3f71bef3ad7961144acc48538b16ad
0030_7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115230022-0203.png,0030,7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115230022-0203,次元城动画,batch_20260715_ciyuancheng,training_raw,128,40,d797aabfba648444d0936c61a6c80baee2769f74677b6218774dac3b230a4a8b
0033_d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115432991-0477.png,0033,d6615c37-825a-4adc-9644-e4e8f0e41d6f-1784115432991-0477,新优酷,batch_20260715_xinyouku,training_raw,128,40,ae73dc0d687b3b9f0df66371a16115fc5924c610813af5420630864d2c89840b
