id,source,width,height,batch,purpose,relative_path,sha256
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156282-0000,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156282-0000.png,512895aeb59e214b01ee56adf7acc6869a49b0eb46e9bcdea9ac807b9b23847c
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156612-0001,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156612-0001.png,32d896a8c1e4008e7838a50bbecee8b3081ef9783e079cd5d436611d6c192a39
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156950-0002,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115156950-0002.png,933d829b7ac77edbba0696539eb7d5d3ce8feac981335e5d9202617015e5d171
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115157320-0003,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115157320-0003.png,58d993747e59243a309eced6ca8a79e139839e2909f9671502f6e72379813e21
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115157686-0004,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115157686-0004.png,8f6a2f0e36471c840f1212481c20f3cb373eae2c8b4ad240caf422d7c6b07e78
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115158031-0005,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115158031-0005.png,aa12a908ac36505fcaeca722d211f805abaeaa7a93e1af3b138dc6f92b02729c
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115158390-0006,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115158390-0006.png,214e4f32378d82d88b6d6a1fedbc680069dd8c5273eb0f3a6727d3c6f9bca7a4
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115158727-0007,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115158727-0007.png,91f080971fd9c3f85534714156342051513c47959875199a2ca560e26a55946f
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115159093-0008,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115159093-0008.png,6db1105261d7c01fb22e658b4e029553ba9d0ae3e388597c01ec50270019c9e5
7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115159483-0009,次元城动画,128,40,batch_20260715_ciyuancheng,training_raw,batch_20260715_ciyuancheng/7a831cfc-a80e-4b52-9a39-9603bcff967d-1784115159483-0009.png,19287289ac6c6e64ebb8de0233d6bd5603c7179f2e3ae9641f0ee1e9490eee39
